id_cidade ;uf;cidade
3477;SP;sao paulo
5959;RJ;rio de janeiro
8173;DF;brasilia
6879;MG;belo horizonte
6861;GO;goiania
8050;CE;fortaleza
7564;BA;salvador
7544;AM;manaus
6731;PR;curitiba
7140;PE;recife
5346;RS;porto alegre
7704;PA;belem
6867;MA;sao luis
7364;PB;joao pessoa
6951;PI;teresina
6809;AL;maceio
6149;RJ;niteroi
6760;MS;campo grande
7615;MT;cuiaba
3496;SP;sorocaba
5864;RN;natal
4915;SC;florianopolis
6751;MG;uberlandia
4502;SE;aracaju
6073;RJ;duque de caxias
3783;SP;piracicaba
8797;MG;juiz de fora
8283;ES;vila velha
8284;ES;vitoria
7554;BA;feira de santana
6628;PR;maringa
7587;PB;campina grande
6355;PE;caruaru
6655;SP;bauru
6750;MG;uberaba
5757;RO;porto velho
6356;RJ;campos dos goytacazes
6654;SP;barueri
8871;MG;montes claros
3982;AP;macapa
4144;SP;franca
5775;RR;boa vista
5139;RS;santa maria
3594;SP;presidente prudente
3427;TO;palmas
3521;SP;taubate
7568;BA;vitoria da conquista
3680;SP;sao carlos
7133;PE;petrolina
5863;RN;mossoro
8710;MG;governador valadares
6866;MA;imperatriz
5319;RS;passo fundo
6779;PR;foz do iguacu
7717;AC;rio branco
3943;SP;marilia
7664;MT;rondonopolis
6153;RJ;nova friburgo
7506;PA;santarem
4336;GO;rio verde
5055;SC;chapeco
6761;MS;dourados
4957;SC;itajai
6294;RJ;macae
6349;MT;sinop
6904;MG;patos de minas
8654;MG;divinopolis
6534;MG;formiga
6404;AL;arapiraca
6920;MG;sete lagoas
4391;SP;braganca paulista
3575;TO;araguaina
7460;PA;maraba
5368;RS;rio grande
6015;RJ;teresopolis
9125;PA;castanhal
4975;SC;lages
7661;MG;teofilo otoni
6873;MG;araxa
6823;PI;parnaiba
8240;ES;linhares
9002;MG;varginha
7548;BA;barreiras
6280;RJ;angra dos reis
4367;SP;barretos
5535;RS;bento goncalves
8154;CE;sobral
7538;GO;luziania
7556;BA;ilheus
7303;PE;garanhuns
5688;MG;passos
7533;GO;catalao
5952;RJ;resende
5411;RS;erechim
7537;GO;itumbiara
5658;GO;jatai
7650;MG;barbacena
6539;MG;ituiutaba
5689;MG;patrocinio
3561;SP;votuporanga
